A_Start,B_Start,SumLogA_Float64,SumLogB_Float64,SumLogA_BigFloat,SumLogB_BigFloat,SumLogDiff_Float64,SumLogDiff_BigFloat,SumLogRatio_Float64,SumLogRatio_BigFloat
1.0000000000000000364321973154977415791655470655996396089904010295867919921875e-10,1.00999999999999994503117008355121131391030075974413193762302398681640625e-08,3.6051503816752922721207141876220703125e+06,3.605154998235025443136692047119140625e+06,3.605150381675263740912965162300546372501273358370973472058280954147993760832272e+06,3.605154998235044753205188898324073076649017986877890833057176224478323600673375e+06,-4.6165597331710159778594970703125,-4.616559781012292223736023526704147744628506917360998895270330329839841102699126,-4.61655978101254138579179198131896555423736572265625,-4.616559781012292223736023526704147744628506917360998895270330329839837726540542
100.0,100.0000000099999937219763523899018764495849609375,4.991464200534290634095668792724609375e+06,4.991464200603579171001911163330078125e+06,4.991464200534350054936437431721254276202487754235128661689916843620467111348584e+06,4.991464200603664754473240603303433316904239363661039085274280513408990153185993e+06,-6.928853690624237060546875e-05,-6.931469953680317158217904070175160942591042358436366978852304183740965487095769e-05,-6.931469953680107864806003714619464517454616725444793701171875e-05,-6.931469953680317158217904070175160942591042358436366978852304184394168363367316e-05
1000.0,1000.0000000100000079328310675919055938720703125,6.956167209174535237252712249755859375e+06,6.956167209184127859771251678466796875e+06,6.956167209174619855058702193512964890215209569554211218429571403905452437184335e+06,6.956167209184150881033000072467681752065504736898419341056689652623368246018875e+06,-9.5926225185394287109375e-06,-9.53102597429787895471686185029516734420812262711824871791580883453980536324816e-06,-9.53102597429778659009202979035535463481210172176361083984375e-06,-9.53102597429787895471686185029516734420812262711824871791580886160259971613238e-06
10000.0,10000.00000001000080374069511890411376953125,9.21532378317101113498210906982421875e+06,9.21532378317201696336269378662109375e+06,9.215323783170993669206473119161026761540182945101451995558930453551918543901979e+06,9.215323783171988782271598691157750197204263953723983699219729519839932469959191e+06,-1.005828380584716796875e-06,-9.951130651255719967234356640810086225317036607990662880139260572112180533573919e-07,-9.95113065125598120791330751522263398101131315343081951141357421875e-07,-9.951130651255719967234356640810086225317036607990662880139260308264112617357191e-07
100000.0,100000.000000009997165761888027191162109375,1.151342529788713157176971435546875e+07,1.151342529788724519312381744384765625e+07,1.151342529788709495344114877829022691158477336272714448174072795109060390295558e+07,1.151342529788719487515864479501136851884066340564442479291049482030577743546081e+07,-1.1362135410308837890625e-07,-9.992171749601672114160725589004291728031116976686921517353250522845988667388929e-08,-9.99217174960163318674227230474504946045044562197290360927581787109375e-08,-9.992171749601672114160725589004291728031116976686921517353254264984374113062076e-08
1.0e+06,1.00000000000001001171767711639404296875e+06,1.3815560556247718632221221923828125e+07,1.38155605562477298080921173095703125e+07,1.381556055624769326560746128893297964644349238261224804898953614814290311734282e+07,1.381556055624770327682458639184644882135287967681806598717033501500552036059795e+07,-1.11758708953857421875e-08,-1.001121712510291346917490938729420581793818079886686261724325513193382923516201e-08,-1.00112171251028892787620041995681752222679961050744168460369110107421875e-08,-1.001121712510291346917490938729420581793818079886686261724333290589045252144011e-08
